Timestamp	Sample Time	AI0	AI1	AI2	AI3	AI4	AI5	AI6	AI7
07/09/2022 10:52:59.8	154.000	0.850	0.942	0.664	0.684	1.069	0.000	0.000	0.000
07/09/2022 10:53:00.8	155.000	0.854	0.962	0.801	0.835	1.055	0.000	0.000	0.000
07/09/2022 10:53:01.8	156.000	0.933	0.811	0.737	0.830	1.021	0.000	0.000	0.000
07/09/2022 10:53:02.8	157.000	0.801	0.908	0.801	0.801	1.084	0.000	0.000	0.000
07/09/2022 10:53:03.8	158.000	0.830	0.869	0.742	0.845	1.118	0.000	0.000	0.000
07/09/2022 10:53:04.8	159.000	0.928	0.903	0.796	0.898	0.986	0.000	0.000	0.000
07/09/2022 10:53:05.8	160.000	0.845	0.894	0.752	0.815	1.006	0.000	0.000	0.000
07/09/2022 10:53:06.8	161.000	0.776	0.859	0.664	0.845	1.060	0.000	0.000	0.000
07/09/2022 10:53:07.8	162.000	0.801	0.762	0.767	0.859	1.035	0.000	0.000	0.000
07/09/2022 10:53:08.8	163.000	0.771	1.035	0.732	0.850	1.006	0.000	0.000	0.000
07/09/2022 10:53:09.8	164.000	0.820	0.869	0.835	0.850	0.981	0.000	0.000	0.000
07/09/2022 10:53:10.8	165.000	0.815	0.840	0.728	0.859	0.986	0.000	0.000	0.000
07/09/2022 10:53:11.8	166.000	0.732	0.908	0.674	0.928	1.133	0.000	0.000	0.000
07/09/2022 10:53:12.8	167.000	0.815	0.840	0.732	0.776	1.001	0.000	0.000	0.000
07/09/2022 10:53:13.8	168.000	0.806	0.820	0.732	0.874	0.981	0.000	0.000	0.000
07/09/2022 10:53:14.8	169.000	0.791	0.879	0.767	0.869	1.030	0.000	0.000	0.000
07/09/2022 10:53:15.8	170.000	0.806	0.801	0.703	0.801	0.977	0.000	0.000	0.000
07/09/2022 10:53:16.8	171.000	0.845	0.840	0.771	0.889	0.918	0.000	0.000	0.000
07/09/2022 10:53:17.8	172.000	0.913	0.879	0.723	0.796	0.962	0.000	0.000	0.000
07/09/2022 10:53:18.8	173.000	0.791	0.820	0.757	0.898	0.928	0.000	0.000	0.000
07/09/2022 10:53:19.8	174.000	0.874	0.859	0.757	0.972	0.937	0.000	0.000	0.000
07/09/2022 10:53:20.8	175.000	0.752	0.879	0.762	0.811	0.845	0.000	0.000	0.000
07/09/2022 10:53:21.8	176.000	0.806	0.640	0.737	0.874	0.996	0.000	0.000	0.000
07/09/2022 10:53:22.8	177.000	0.771	0.850	0.747	0.815	0.933	0.000	0.000	0.000
07/09/2022 10:53:23.8	178.000	0.835	0.898	0.737	0.649	0.913	0.000	0.000	0.000
07/09/2022 10:53:24.8	179.000	0.859	0.835	0.723	0.762	0.923	0.000	0.000	0.000
07/09/2022 10:53:25.8	180.000	0.889	0.859	0.718	0.776	0.801	0.000	0.000	0.000
07/09/2022 10:53:26.8	181.000	0.781	0.806	0.742	0.732	0.894	0.000	0.000	0.000
07/09/2022 10:53:27.8	182.000	0.679	0.879	0.684	0.806	0.850	0.000	0.000	0.000
07/09/2022 10:53:28.8	183.000	0.825	0.786	0.801	0.776	0.889	0.000	0.000	0.000
07/09/2022 10:53:29.8	184.000	0.708	0.796	0.776	0.781	0.918	0.000	0.000	0.000
07/09/2022 10:53:30.8	185.000	1.030	0.850	0.767	0.703	0.762	0.000	0.000	0.000
07/09/2022 10:53:31.8	186.000	0.684	0.864	0.693	0.762	0.884	0.000	0.000	0.000
07/09/2022 10:53:32.8	187.000	0.776	0.952	0.752	0.698	0.845	0.000	0.000	0.000
07/09/2022 10:53:33.8	188.000	0.728	0.830	0.728	0.815	0.933	0.000	0.000	0.000
07/09/2022 10:53:34.8	189.000	0.933	0.791	0.752	0.771	0.869	0.000	0.000	0.000
07/09/2022 10:53:35.8	190.000	0.664	0.859	0.767	0.728	0.854	0.000	0.000	0.000
07/09/2022 10:53:36.8	191.000	0.801	0.801	0.835	0.791	0.923	0.000	0.000	0.000
07/09/2022 10:53:37.8	192.000	0.684	0.991	0.757	0.776	0.850	0.000	0.000	0.000
07/09/2022 10:53:38.8	193.000	0.864	0.840	0.737	0.796	0.854	0.000	0.000	0.000
07/09/2022 10:53:39.8	194.000	0.791	0.879	0.688	0.713	0.986	0.000	0.000	0.000
07/09/2022 10:53:40.8	195.000	0.923	0.796	0.781	0.781	0.815	0.000	0.000	0.000
07/09/2022 10:53:41.8	196.000	0.884	0.864	0.757	0.825	0.859	0.000	0.000	0.000
07/09/2022 10:53:42.8	197.000	0.815	0.869	0.771	0.791	0.737	0.000	0.000	0.000
07/09/2022 10:53:43.8	198.000	0.801	0.864	0.894	0.815	0.986	0.000	0.000	0.000
07/09/2022 10:53:44.8	199.000	0.962	0.820	0.737	0.820	0.737	0.000	0.000	0.000
07/09/2022 10:53:45.8	200.000	0.820	0.815	0.908	0.811	0.854	0.000	0.000	0.000
07/09/2022 10:53:46.8	201.000	0.742	0.815	0.781	0.791	0.830	0.000	0.000	0.000
07/09/2022 10:53:47.8	202.000	0.737	1.006	0.723	0.786	0.972	0.000	0.000	0.000
07/09/2022 10:53:48.8	203.000	0.850	0.825	0.854	0.781	0.840	0.000	0.000	0.000
07/09/2022 10:53:49.8	204.000	0.854	0.889	0.747	0.757	0.879	0.000	0.000	0.000
07/09/2022 10:53:50.8	205.000	0.918	0.776	0.742	0.781	0.918	0.000	0.000	0.000
07/09/2022 10:53:51.8	206.000	0.854	0.850	0.757	0.757	0.850	0.000	0.000	0.000
07/09/2022 10:53:52.8	207.000	0.771	0.820	0.776	0.796	0.957	0.000	0.000	0.000
07/09/2022 10:53:53.8	208.000	0.884	0.879	0.815	0.786	0.981	0.000	0.000	0.000
07/09/2022 10:53:54.8	209.000	0.874	0.864	0.718	0.771	0.762	0.000	0.000	0.000
07/09/2022 10:53:55.8	210.000	0.825	0.757	0.801	0.737	0.806	0.000	0.000	0.000
07/09/2022 10:53:56.8	211.000	0.942	0.952	0.767	0.801	0.874	0.000	0.000	0.000
07/09/2022 10:53:57.8	212.000	0.820	0.830	0.757	0.771	0.806	0.000	0.000	0.000
